,ID,first_name,last_name,gender,birth,party,profession,education
24,10,Vinni Kjærgaard,Jørgensen,F,1966-12-01T00:00:00,Å,Studerende,Seminaruddannelse
25,1062,Line,Gessø,F,1974-10-24T00:00:00,Å,Privat ansat/selvstændig,Kandidat-/masteruddannelse
26,1056,John,Vind,M,1973-03-09T00:00:00,O,Udenfor arbejdsmarkedet,Ikke oplyst
27,382,Troels Stru,Schmidt,M,1982-01-01T00:00:00,F,Offentligt ansat,Ph.d.-uddannelse
28,30,Kasper,Krebs,M,1992-02-12T00:00:00,Å,Ikke oplyst,Seminaruddannelse
29,214,Christina Rittig,Falkberg,F,1975-05-14T00:00:00,B,Privat ansat/selvstændig,Kandidat-/masteruddannelse
30,592,Jan,Carlsen,M,1965-10-21T00:00:00,M,Leder,Gymnasial uddannelse
31,943,Frits Simmelsgaard,Kristensen,M,1961-09-15T00:00:00,K,Privat ansat/selvstændig,Erhvervsuddannelse
32,356,Hans-Henning,Terp-Hansen,M,1973-12-08T00:00:00,I,Ikke oplyst,Ikke oplyst
33,136,Siff Tang,Lassen,F,2002-04-04T00:00:00,C,Studerende,Bachelor-/diplomuddannelse
34,322,Jens,Meilvang,M,1981-04-02T00:00:00,I,Byråds- eller regionsrådsmedlem,Erhvervsuddannelse
35,87,Annette Juhler,Kjær,F,1961-02-18T00:00:00,C,Privat ansat/selvstændig,Ikke oplyst
36,979,Vibeke,Brønnum,F,1953-02-09T00:00:00,Æ,Privat ansat/selvstændig,Kandidat-/masteruddannelse
37,269,Troels,Brandt,M,1967-04-25T00:00:00,B,Leder,Kandidat-/masteruddannelse
38,697,Marianne,Stannum,F,1966-06-29T00:00:00,F,Offentligt ansat,Kandidat-/masteruddannelse
39,228,Jan Werner,Mathiasen,M,1972-03-14T00:00:00,B,Offentligt ansat,Kandidat-/masteruddannelse
40,1025,Xenia,Anderson,F,2002-01-01T00:00:00,Q,Ikke oplyst,Ikke oplyst
41,792,Christian Rabjerg,Madsen,M,1986-03-24T00:00:00,A,Minister,Kandidat-/masteruddannelse
42,249,Michael,Flarup,M,1982-03-31T00:00:00,B,Offentligt ansat,Kandidat-/masteruddannelse
43,1044,Elif Demir,Gökce,F,1975-01-01T00:00:00,K,Ikke oplyst,Ikke oplyst
44,737,Lars Ole Skovgaard,Larsen,M,1962-01-01T00:00:00,Æ,Ikke oplyst,Ikke oplyst
45,365,Robert,Mørck,M,1981-11-24T00:00:00,I,Leder,Kandidat-/masteruddannelse
46,719,Vivi,Altenburg,F,1962-03-15T00:00:00,Æ,Leder,Kandidat-/masteruddannelse
47,90,Andreas,Karlsen,M,1996-01-01T00:00:00,C,Privat ansat/selvstændig,Erhvervsuddannelse
48,123,Roya,Moore,F,1967-01-01T00:00:00,C,Offentligt ansat,Bachelor-/diplomuddannelse
49,712,Inger,Støjberg,F,1973-01-01T00:00:00,Æ,Ikke oplyst,Ikke oplyst
50,11,Nicklas,Gjedsig,M,1994-10-24T00:00:00,Å,Studerende,Kandidat-/masteruddannelse
51,889,Birgit,Gedionsen,F,1953-01-01T00:00:00,Ø,Ikke oplyst,Ikke oplyst
52,967,Cecilie,Holdt,F,1986-08-18T00:00:00,F,Leder,Kandidat-/masteruddannelse
53,163,Pernille,Vermund,F,1975-12-03T00:00:00,D,Partileder,Kandidat-/masteruddannelse
54,134,Ole,Gade,M,1964-03-25T00:00:00,C,Privat ansat/selvstændig,Gymnasial uddannelse
55,21,Rasmus,Foged,M,1978-01-01T00:00:00,Å,Ikke oplyst,Ikke oplyst
56,744,Lars,Goldschmidt,M,1955-09-26T00:00:00,A,Privat ansat/selvstændig,Ph.d.-uddannelse
57,182,Knud,Nielsen,M,1956-01-01T00:00:00,D,Ikke oplyst,Ikke oplyst
58,759,Leif Lahn,Jensen,M,1967-06-29T00:00:00,A,Folketingsmedlem,10. klasse
59,130,Lennart,Qvist,M,1970-10-27T00:00:00,C,Privat ansat/selvstændig,Kandidat-/masteruddannelse
60,478,Kenneth Kristensen,Berth,M,1977-02-03T00:00:00,O,Privat ansat/selvstændig,Kandidat-/masteruddannelse
61,1103,Clara,Wolf,F,1995-01-01T00:00:00,Å,Ikke oplyst,Ikke oplyst
